external_urls;followers;genres;href;id;images;name;popularity;type;uri;most_genre;specific_genre
{'spotify': 'https://open.spotify.com/artist/0WPY9nnBy01s5QOt4o4oQX'};239983;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];https://api.spotify.com/v1/artists/0WPY9nnBy01s5QOt4o4oQX;0WPY9nnBy01s5QOt4o4oQX;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb958d509c00ca0257c95071e1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174958d509c00ca0257c95071e1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178958d509c00ca0257c95071e1', 'width': 160}];ride;46;artist;spotify:artist:0WPY9nnBy01s5QOt4o4oQX;[(6, 'shoegaze'), (4, 'alternative rock'), (3, 'dream pop'), (2, 'oxford indie'), (1, 'britpop')];{'dream', 'alternative', 'indie', 'rock', 'britpop', 'pop', 'shoegaze', 'oxford'}
{'spotify': 'https://open.spotify.com/artist/0YHxyyD4PHmFZipMtvH5K5'};337;[];https://api.spotify.com/v1/artists/0YHxyyD4PHmFZipMtvH5K5;0YHxyyD4PHmFZipMtvH5K5;[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b7f8ee5e9a2db7a91771a248', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b7f8ee5e9a2db7a91771a248', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b7f8ee5e9a2db7a91771a248', 'width': 64}];mark hartsuch;7;artist;spotify:artist:0YHxyyD4PHmFZipMtvH5K5;[];set()
{'spotify': 'https://open.spotify.com/artist/0YbvZPP1HufDyWIsR0ei6K'};62695;['djent', 'indian metal'];https://api.spotify.com/v1/artists/0YbvZPP1HufDyWIsR0ei6K;0YbvZPP1HufDyWIsR0ei6K;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb303fee91dcecb34bbe33d63c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174303fee91dcecb34bbe33d63c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178303fee91dcecb34bbe33d63c', 'width': 160}];skyharbor;30;artist;spotify:artist:0YbvZPP1HufDyWIsR0ei6K;[(22, 'djent'), (1, 'indian metal')];{'metal', 'djent', 'indian'}
{'spotify': 'https://open.spotify.com/artist/0Z5FMozvx15nUSUA6a9kkU'};173618;['british jazz', 'chamber psych'];https://api.spotify.com/v1/artists/0Z5FMozvx15nUSUA6a9kkU;0Z5FMozvx15nUSUA6a9kkU;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb64d5703bc39fcaf1f132846e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517464d5703bc39fcaf1f132846e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17864d5703bc39fcaf1f132846e', 'width': 160}];the comet is coming;37;artist;spotify:artist:0Z5FMozvx15nUSUA6a9kkU;[(2, 'british jazz'), (1, 'chamber psych')];{'british', 'psych', 'chamber', 'jazz'}
{'spotify': 'https://open.spotify.com/artist/0c0xIXQhCbmtvzM93liaSf'};75903;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];https://api.spotify.com/v1/artists/0c0xIXQhCbmtvzM93liaSf;0c0xIXQhCbmtvzM93liaSf;[{'height': 663, 'url': 'https://i.scdn.co/image/029b877f7f45df775b0029c3d87de1fe3b01c169', 'width': 1000}, {'height': 424, 'url': 'https://i.scdn.co/image/697b979bc77afceb7dcc667e9aab06bee4b1ceb9', 'width': 640}, {'height': 133, 'url': 'https://i.scdn.co/image/3c137ebe82f94a9cbaa243d1624fe139c6203bfc', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/68f9c42bb787ecb0ba4ad16a4233087b297fc863', 'width': 63}];blut aus nord;32;artist;spotify:artist:0c0xIXQhCbmtvzM93liaSf;[(20, 'post-metal'), (12, 'atmospheric black metal'), (10, 'drone metal'), (10, 'blackgaze'), (9, 'black metal'), (8, 'voidgaze'), (5, 'french metal'), (5, 'cosmic black metal'), (4, 'french black metal'), (3, 'avant-garde black metal')];{'french', 'post-metal', 'blackgaze', 'avant-garde', 'cosmic', 'voidgaze', 'atmospheric', 'metal', 'drone', 'black'}
{'spotify': 'https://open.spotify.com/artist/0d5ZwMtCer8dQdOPAgWhe7'};296848;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];https://api.spotify.com/v1/artists/0d5ZwMtCer8dQdOPAgWhe7;0d5ZwMtCer8dQdOPAgWhe7;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf93fcb88bd2805b3cbb4490f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f93fcb88bd2805b3cbb4490f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f93fcb88bd2805b3cbb4490f', 'width': 160}];alcest;48;artist;spotify:artist:0d5ZwMtCer8dQdOPAgWhe7;[(20, 'post-metal'), (12, 'atmospheric black metal'), (10, 'blackgaze'), (6, 'shoegaze'), (5, 'french metal'), (4, 'french black metal'), (4, 'emotional black metal'), (3, 'post-black metal'), (2, 'french shoegaze')];{'french', 'post-metal', 'blackgaze', 'emotional', 'atmospheric', 'metal', 'shoegaze', 'black', 'post-black'}
{'spotify': 'https://open.spotify.com/artist/0dPLWmQMIFZaCs8GCIZ1Zr'};10703;['chillwave'];https://api.spotify.com/v1/artists/0dPLWmQMIFZaCs8GCIZ1Zr;0dPLWmQMIFZaCs8GCIZ1Zr;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb50ef0663569a7c17b4044f7a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517450ef0663569a7c17b4044f7a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17850ef0663569a7c17b4044f7a', 'width': 160}];casa del mirto;18;artist;spotify:artist:0dPLWmQMIFZaCs8GCIZ1Zr;[(5, 'chillwave')];{'chillwave'}
{'spotify': 'https://open.spotify.com/artist/0jNDKefhfSbLR9sFvcPLHo'};696129;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];https://api.spotify.com/v1/artists/0jNDKefhfSbLR9sFvcPLHo;0jNDKefhfSbLR9sFvcPLHo;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb082c34e225913f6f5ef6f420', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174082c34e225913f6f5ef6f420', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178082c34e225913f6f5ef6f420', 'width': 160}];san holo;57;artist;spotify:artist:0jNDKefhfSbLR9sFvcPLHo;[(2, 'future bass'), (2, 'edm'), (1, 'pop dance'), (1, 'electronic trap'), (1, 'electro house'), (1, 'brostep')];{'bass', 'edm', 'electro', 'trap', 'dance', 'future', 'house', 'pop', 'electronic', 'brostep'}
{'spotify': 'https://open.spotify.com/artist/0pSx3asj3usz5PRt8COo0E'};318180;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];https://api.spotify.com/v1/artists/0pSx3asj3usz5PRt8COo0E;0pSx3asj3usz5PRt8COo0E;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb29baa379ec93e6727252d2e5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517429baa379ec93e6727252d2e5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17829baa379ec93e6727252d2e5', 'width': 160}];ketama126;56;artist;spotify:artist:0pSx3asj3usz5PRt8COo0E;[(3, 'italian hip hop'), (2, 'trap italiana'), (1, 'emo rap italiano'), (1, 'drill italiana')];{'rap', 'italiano', 'hip', 'italiana', 'trap', 'emo', 'drill', 'italian', 'hop'}
{'spotify': 'https://open.spotify.com/artist/0qu422H5MOoQxGjd4IzHbS'};399571;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];https://api.spotify.com/v1/artists/0qu422H5MOoQxGjd4IzHbS;0qu422H5MOoQxGjd4IzHbS;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb10afe006fe4c3309711f1966', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517410afe006fe4c3309711f1966', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17810afe006fe4c3309711f1966', 'width': 160}];yves tumor;57;artist;spotify:artist:0qu422H5MOoQxGjd4IzHbS;[(3, 'escape room'), (2, 'experimental pop'), (2, 'art pop'), (1, 'hypnagogic pop'), (1, 'experimental r&b')];{'experimental', 'room', 'escape', 'pop', 'hypnagogic', 'art', 'r&b'}
