external_urls;followers;genres;href;id;images;name;popularity;type;uri;most_genre;specific_genre
{'spotify': 'https://open.spotify.com/artist/4f5V3PQ66nIrBCqugJtaGn'};937452;['death metal', 'dissonant death metal', 'florida death metal', 'groove metal', 'hard rock', 'metal', 'speed metal', 'technical death metal'];https://api.spotify.com/v1/artists/4f5V3PQ66nIrBCqugJtaGn;4f5V3PQ66nIrBCqugJtaGn;[{'url': 'https://i.scdn.co/image/b1ad9718b69b4c75164d418bde0cf3aa1566ac92', 'height': 480, 'width': 720}, {'url': 'https://i.scdn.co/image/9a0f1b399f5e272074b79f4efa3139cb2fce030e', 'height': 427, 'width': 640}, {'url': 'https://i.scdn.co/image/eb4ef3f579f7b740b56364bbb001fe03b57d8fd1', 'height': 133, 'width': 200}, {'url': 'https://i.scdn.co/image/e4a944052fabb382dd7454ee8133e93762626837', 'height': 43, 'width': 64}];death;58;artist;spotify:artist:4f5V3PQ66nIrBCqugJtaGn;[(np.int64(8), 'metal'), (np.int64(6), 'technical death metal'), (np.int64(5), 'death metal'), (np.int64(3), 'hard rock'), (np.int64(3), 'groove metal'), (np.int64(3), 'dissonant death metal'), (np.int64(2), 'speed metal'), (np.int64(2), 'florida death metal')];{'technical', 'hard', 'rock', 'florida', 'dissonant', 'speed', 'metal', 'groove', 'death'}
{'spotify': 'https://open.spotify.com/artist/7w2cQkraSNaYeHe5nHgvA8'};9254;['cosmic death metal', 'dissonant death metal', 'italian death metal'];https://api.spotify.com/v1/artists/7w2cQkraSNaYeHe5nHgvA8;7w2cQkraSNaYeHe5nHgvA8;[{'url': 'https://i.scdn.co/image/ab67616d0000b273da4fd0e79e20796bed83afd8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02da4fd0e79e20796bed83afd8', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851da4fd0e79e20796bed83afd8', 'height': 64, 'width': 64}];cosmic putrefaction;23;artist;spotify:artist:7w2cQkraSNaYeHe5nHgvA8;[(np.int64(3), 'dissonant death metal'), (np.int64(1), 'italian death metal'), (np.int64(1), 'cosmic death metal')];{'italian', 'dissonant', 'cosmic', 'metal', 'death'}
{'spotify': 'https://open.spotify.com/artist/4S6FYETKT9NCN4zSD8xzJe'};174;[];https://api.spotify.com/v1/artists/4S6FYETKT9NCN4zSD8xzJe;4S6FYETKT9NCN4zSD8xzJe;[{'url': 'https://i.scdn.co/image/ab67616d0000b2739523a418a05f6c94e8d80f9c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029523a418a05f6c94e8d80f9c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519523a418a05f6c94e8d80f9c', 'height': 64, 'width': 64}];nugara trio;8;artist;spotify:artist:4S6FYETKT9NCN4zSD8xzJe;[];set()
{'spotify': 'https://open.spotify.com/artist/3IuEuLez19teZSN32Pf70j'};71899;['funktronica', 'microtonal'];https://api.spotify.com/v1/artists/3IuEuLez19teZSN32Pf70j;3IuEuLez19teZSN32Pf70j;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb914fc9bd29ec5c076254c6bb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174914fc9bd29ec5c076254c6bb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178914fc9bd29ec5c076254c6bb', 'height': 160, 'width': 160}];mononeon;38;artist;spotify:artist:3IuEuLez19teZSN32Pf70j;[(np.int64(1), 'microtonal'), (np.int64(1), 'funktronica')];{'funktronica', 'microtonal'}
{'spotify': 'https://open.spotify.com/artist/3JMctIRwcYkN013icoOggA'};4481;[];https://api.spotify.com/v1/artists/3JMctIRwcYkN013icoOggA;3JMctIRwcYkN013icoOggA;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb49f812993582b15f03b09aad', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517449f812993582b15f03b09aad', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17849f812993582b15f03b09aad', 'height': 160, 'width': 160}];jeremy ledbetter trio;22;artist;spotify:artist:3JMctIRwcYkN013icoOggA;[];set()
{'spotify': 'https://open.spotify.com/artist/7E1Rns82siABgS79x6FTEO'};2139;['jazz metal'];https://api.spotify.com/v1/artists/7E1Rns82siABgS79x6FTEO;7E1Rns82siABgS79x6FTEO;[{'url': 'https://i.scdn.co/image/ab67616d0000b273c889c05aa802d862fd45f1e3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c889c05aa802d862fd45f1e3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c889c05aa802d862fd45f1e3', 'height': 64, 'width': 64}];gonin-ish;5;artist;spotify:artist:7E1Rns82siABgS79x6FTEO;[(np.int64(9), 'jazz metal')];{'jazz', 'metal'}
{'spotify': 'https://open.spotify.com/artist/2hbkBlGBgvJkC3tpUn9w4C'};150485;['atmospheric black metal', 'black metal', 'polish black metal'];https://api.spotify.com/v1/artists/2hbkBlGBgvJkC3tpUn9w4C;2hbkBlGBgvJkC3tpUn9w4C;[{'url': 'https://i.scdn.co/image/ab6761610000e5eba02bb47cde9a07a73d905cb2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a02bb47cde9a07a73d905cb2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a02bb47cde9a07a73d905cb2', 'height': 160, 'width': 160}];mgła;42;artist;spotify:artist:2hbkBlGBgvJkC3tpUn9w4C;[(np.int64(12), 'atmospheric black metal'), (np.int64(9), 'black metal'), (np.int64(1), 'polish black metal')];{'black', 'polish', 'metal', 'atmospheric'}
{'spotify': 'https://open.spotify.com/artist/2F9WG9ugzneeesOZfmQ18V'};29953;['indian jazz'];https://api.spotify.com/v1/artists/2F9WG9ugzneeesOZfmQ18V;2F9WG9ugzneeesOZfmQ18V;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb838ec4e15914cfe0dd427f38', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174838ec4e15914cfe0dd427f38', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178838ec4e15914cfe0dd427f38', 'height': 160, 'width': 160}];shubh saran;30;artist;spotify:artist:2F9WG9ugzneeesOZfmQ18V;[(np.int64(2), 'indian jazz')];{'jazz', 'indian'}
{'spotify': 'https://open.spotify.com/artist/0Z5FMozvx15nUSUA6a9kkU'};174513;['british jazz', 'chamber psych'];https://api.spotify.com/v1/artists/0Z5FMozvx15nUSUA6a9kkU;0Z5FMozvx15nUSUA6a9kkU;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb64d5703bc39fcaf1f132846e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517464d5703bc39fcaf1f132846e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17864d5703bc39fcaf1f132846e', 'height': 160, 'width': 160}];the comet is coming;38;artist;spotify:artist:0Z5FMozvx15nUSUA6a9kkU;[(np.int64(2), 'british jazz'), (np.int64(1), 'chamber psych')];{'jazz', 'psych', 'british', 'chamber'}
{'spotify': 'https://open.spotify.com/artist/2q37Nw8NND2z1T1KU5XVfn'};141973;['contemporary jazz', 'experimental jazz', 'jazz', 'jazz trumpet', 'new orleans jazz'];https://api.spotify.com/v1/artists/2q37Nw8NND2z1T1KU5XVfn;2q37Nw8NND2z1T1KU5XVfn;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb36d717e648ceaade8c9667f7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517436d717e648ceaade8c9667f7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17836d717e648ceaade8c9667f7', 'height': 160, 'width': 160}];christian scott atunde adjuah;38;artist;spotify:artist:2q37Nw8NND2z1T1KU5XVfn;[(np.int64(8), 'contemporary jazz'), (np.int64(4), 'experimental jazz'), (np.int64(3), 'jazz'), (np.int64(2), 'jazz trumpet'), (np.int64(1), 'new orleans jazz')];{'experimental', 'orleans', 'trumpet', 'jazz', 'new', 'contemporary'}
