Name;Country;Genre;Status;URL
Macabre Decay;Sweden;Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Decay/3540420971
Macabre Demise;Germany;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Demise/3540305394
Macabre End;Sweden;Death Metal;Changed name;https://www.metal-archives.com/bands/Macabre_End/41603
Macabre Eternal;United States;Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Eternal/3540456828
Macabre Funeral;Peru;Black Metal;Active;https://www.metal-archives.com/bands/Macabre_Funeral/3540374385
Macabre Goat;Mexico;Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Goat/3540459545
Macabre Idolatry;Italy;Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Idolatry/3540506358
Macabre Instinct;Brazil;Death Metal/Goregrind;Active;https://www.metal-archives.com/bands/Macabre_Instinct/3540496640
Macabre Manifest;Brazil;Black Metal;Unknown;https://www.metal-archives.com/bands/Macabre_Manifest/3540286081
Macabre Omen;Greece;Epic Pagan/Black Metal;Active;https://www.metal-archives.com/bands/Macabre_Omen/5538
Macabre Operetta;Mexico;Black Metal;Split-up;https://www.metal-archives.com/bands/Macabre_Operetta/3540430352
Macabre Operetta;Greece;Black Metal;Unknown;https://www.metal-archives.com/bands/Macabre_Operetta/97408
Macabre Polytheism;United States;Raw Black Metal;Active;https://www.metal-archives.com/bands/Macabre_Polytheism/3540470854
Macabre Repugnance;Mexico;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Repugnance/3540377873
Macabre Salvation Corrupted Religion;Japan;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Salvation_Corrupted_Religion/3540446678
Macabre Visions;United Kingdom;Thrash/Death Metal;Active;https://www.metal-archives.com/bands/Macabre_Visions/42329
Macabro;Guatemala;Death Metal;Active;https://www.metal-archives.com/bands/Macabro/3540404781
Macabro;Brazil;Speed/Heavy Metal/Punk;Active;https://www.metal-archives.com/bands/Macabro/3540535386
Macabro;Colombia;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Macabro/3540269403
Macabro;Chile;Death Metal;Active;https://www.metal-archives.com/bands/Macabro/3540464374
Macabro Genocidio;Italy;Black/Death Metal;Active;https://www.metal-archives.com/bands/Macabro_Genocidio/3540404984
