artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
kamasi washington;3;2025;25/03/2025 21:00;159;Portugal;Porto;(41.14, -8.61);1522.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;26/03/2025 20:00;159;Portugal;Lisboa;(38.72, -9.14);1691.5;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;28/03/2025 20:30;162;France;Cenon;(44.86, -0.52);769.3;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;30/03/2025 21:00;164;Switzerland;Zurich;(47.38, 8.53);212.6;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;31/03/2025 19:00;164;Switzerland;Lausanne;(46.52, 6.62);230.1;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;01/04/2025 20:00;165;France;Paris;(48.88, 2.3);643.3;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;03/04/2025 20:00;167;United Kingdom;Cardiff;(51.49, -3.18);1128.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;04/04/2025 20:00;168;United Kingdom;Manchester;(53.48, -2.25);1210.8;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;05/04/2025 19:30;169;United Kingdom;Gateshead;(54.97, -1.6);1300.4;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;06/04/2025 20:00;170;United Kingdom;Glasgow;(55.86, -4.24);1486.7;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;08/04/2025 20:00;172;Ireland;Dublin;(53.34, -6.27);1415.6;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;09/04/2025 19:00;173;Ireland;Cork;(51.9, -8.47);1477.2;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;11/04/2025 19:00;175;United Kingdom;Leeds;(53.8, -1.57);1203.1;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;13/04/2025 20:00;177;United Kingdom;London;(51.47, -0.11);954.0;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;14/04/2025 19:00;178;United Kingdom;Brighton;(50.82, -0.14);910.7;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;15/04/2025 20:00;179;Belgium;Bruxelles;(50.84, 4.36);692.3;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;17/04/2025 20:00;181;Germany;Köln;(50.97, 7.01);626.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;19/04/2025 20:00;183;Germany;Frankfurt Am Main;(50.14, 8.74);513.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;20/04/2025 20:00;184;Netherlands;Amsterdam;(52.36, 4.88);823.3;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;22/04/2025 20:00;186;Italy;Milan;(45.49, 9.18);5.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;23/04/2025 21:00;188;Italy;Roma;(41.93, 12.48);478.0;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;24/04/2025 20:00;188;Italy;Bologna;(44.52, 11.37);202.6;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;26/04/2025 20:00;190;Netherlands;Da Groningen;(53.21, 6.58);875.4;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;27/04/2025 20:00;191;Netherlands;Utrecht;(52.09, 5.11);789.5;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;4;2025;29/04/2025 18:00;193;Greece;Athens;(37.98, 23.73);1465.2;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
