name;startDate;url;artist;addressCountry;addressLocality;streetAddress;postalCode;coordinates
Opeth @ Kings Theatre;2024-10-18T19:00:00;https://www.bandsintown.com/e/105447726-opeth-at-kings-theatre?came_from=209;Opeth;United States;Brooklyn;1027 Flatbush Ave;11226;(40.6459919, -73.9572931)
Opeth @ Stage AE;2024-10-19T19:00:00;https://www.bandsintown.com/e/105447728-opeth-at-stage-ae?came_from=209;Opeth;United States;Pittsburgh;400 N Shore Dr;15212;(40.4461361, -80.0122828)
Opeth @ Warner Theatre;2024-10-20T19:00:00;https://www.bandsintown.com/e/105447733-opeth-at-warner-theatre?came_from=209;Opeth;United States;Washington;513 13th St NW;20002;(38.896436, -77.028931)
Opeth @ Tabernacle;2024-10-22T19:00:00;https://www.bandsintown.com/e/105447755-opeth-at-tabernacle?came_from=209;Opeth;United States;Atlanta;152 Luckie St NW;30303;(33.7587418, -84.39139310000002)
Opeth @ Fillmore New Orleans;2024-10-23T19:00:00;https://www.bandsintown.com/e/105447759-opeth-at-fillmore-new-orleans?came_from=209;Opeth;United States;New Orleans;6 Canal St;70130;(29.9500083, -90.0655364)
Opeth @ Emo's Austin;2024-10-24T19:00:00;https://www.bandsintown.com/e/105447760-opeth-at-emo's-austin?came_from=209;Opeth;United States;Austin;2015 E Riverside Dr;78741;(30.2395789, -97.7280066)
Opeth @ Majestic Theatre;2024-10-25T19:00:00;https://www.bandsintown.com/e/105447762-opeth-at-majestic-theatre?came_from=209;Opeth;United States;Dallas;1925 Elm St;75201;(32.7823255, -96.7955763)
Opeth @ Mission Ballroom;2024-10-27T19:00:00;https://www.bandsintown.com/e/105447765-opeth-at-mission-ballroom?came_from=209;Opeth;United States;Denver;4242 Wynkoop St,;80216;(39.776204, -104.969168)
Opeth @ The Van Buren;2024-10-29T19:00:00;https://www.bandsintown.com/e/105447768-opeth-at-the-van-buren?came_from=209;Opeth;United States;Phoenix;401 W Van Buren St;85003;(33.4512811, -112.0792443)
Opeth @ YouTube Theater;2024-10-30T19:00:00;https://www.bandsintown.com/e/105447772-opeth-at-youtube-theater?came_from=209;Opeth;United States;Los Angeles;1011 Stadium Dr, Inglewood;90305;(33.9515762, -118.3367462)
Opeth @ The Warfield;2024-10-31T19:00:00;https://www.bandsintown.com/e/105447777-opeth-at-the-warfield?came_from=209;Opeth;United States;San Francisco;982 Market St;94102;(37.7826737, -122.410428)
Opeth @ Helsinki Ice Hall;2025-02-09T19:00:00;https://www.bandsintown.com/e/105812005-opeth-at-helsinki-ice-hall?came_from=209;Opeth;Finland;Helsinki;Nordenskiöldinkatu 11-13;00250;(60.1892751, 24.922511499999928)
Opeth @ Cirkus;2025-02-11T19:00:00;https://www.bandsintown.com/e/105812009-opeth-at-cirkus?came_from=209;Opeth;Sweden;Stockholm;Djurgårdsslätten 43-45;115 21;(59.32462690000001, 18.0995865)
Opeth @ Sentrum Scene;2025-02-12T19:00:00;https://www.bandsintown.com/e/105812011-opeth-at-sentrum-scene?came_from=209;Opeth;Norway;Oslo;Arbeidersamfunnets plass 1;0181;(59.9155312, 10.7518778)
Opeth @ DR Koncerthuset;2025-02-14T19:00:00;https://www.bandsintown.com/e/105812013-opeth-at-dr-koncerthuset?came_from=209;Opeth;Denmark;København S;Ørestads Blvd. 13;2300;(55.6578246, 12.5888904)
Opeth @ Docks;2025-02-15T19:00:00;https://www.bandsintown.com/e/105812012-opeth-at-docks?came_from=209;Opeth;Germany;Hamburg;Spielbudenplatz 19;20359;(53.5492917, 9.964537199999995)
Opeth @ Palladium Köln;2025-02-17T19:00:00;https://www.bandsintown.com/e/105812015-opeth-at-palladium-koln?came_from=209;Opeth;Germany;Köln;Schanzenstraße 40;51063;(50.9692286, 7.016989199999999)
Opeth @ Tempodrom;2025-02-18T19:00:00;https://www.bandsintown.com/e/105812018-opeth-at-tempodrom?came_from=209;Opeth;Germany;Berlin;Möckernstraße 10;10963;(52.50162599999999, 13.381228)
Opeth @ Muffathalle;2025-02-19T19:00:00;https://www.bandsintown.com/e/105812020-opeth-at-muffathalle?came_from=209;Opeth;Germany;München;Zellstraße 4;81667;(48.1331043, 11.589557)
Opeth @ L’Olympia;2025-02-21T19:00:00;https://www.bandsintown.com/e/105812021-opeth-at-l'olympia?came_from=209;Opeth;France;Paris;28 Boulevard des Capucines;75009;(48.870161, 2.3283163)
Opeth @ AFAS Live;2025-02-22T19:00:00;https://www.bandsintown.com/e/105812022-opeth-at-afas-live?came_from=209;Opeth;Netherlands;Amsterdam;Johan Cruijff Boulevard 590;1101 DS;(52.3123229, 4.9446128)
Opeth @ Ancienne Belgique;2025-02-23T19:00:00;https://www.bandsintown.com/e/105812023-opeth-at-ancienne-belgique?came_from=209;Opeth;Belgium;Bruxelles;Blvd Anspach 110;1000;(50.8472409, 4.3488349)
Opeth @ Bristol Beacon;2025-02-25T19:00:00;https://www.bandsintown.com/e/105834159-opeth-at-bristol-beacon?came_from=209;Opeth;United Kingdom;Bristol;Trenchard St;BS1 5AR;(51.454493, -2.5982703)
Opeth @ Roundhouse;2025-02-26T19:00:00;https://www.bandsintown.com/e/105834171-opeth-at-roundhouse?came_from=209;Opeth;United Kingdom;London;Chalk Farm Rd;NW1 8EH;(51.5432545, -0.151869)
Opeth @ Symphony Hall;2025-02-28T19:00:00;https://www.bandsintown.com/e/105834191-opeth-at-symphony-hall?came_from=209;Opeth;United Kingdom;Birmingham;Broad St;B1 2EA;(52.4785639, -1.9101092)
Opeth @ Albert Hall;2025-03-01T19:00:00;https://www.bandsintown.com/e/105834182-opeth-at-albert-hall?came_from=209;Opeth;United Kingdom;Manchester;27 Peter St.;M2 5QR;(53.4782808, -2.2479352)
Opeth @ Barrowland Ballroom;2025-03-02T19:00:00;https://www.bandsintown.com/e/105834186-opeth-at-barrowland-ballroom?came_from=209;Opeth;United Kingdom;Glasgow;244 Gallowgate;G4 0TT;(55.855355, -4.236961)
SAN HOLO @ Melkweg;2024-10-17T18:00:00;https://www.bandsintown.com/e/105690136-san-holo-at-melkweg?came_from=209;SAN HOLO;Netherlands;Amsterdam;Lijnbaansgracht 234A;1017;(52.364786, 4.8812489)
SAN HOLO @ Ministry Of Sound;2024-10-18T22:00:00;https://www.bandsintown.com/e/105876367-san-holo-at-ministry-of-sound?came_from=209;SAN HOLO;United Kingdom;London;103 Gaunt St;SE1 6DP;(51.4977458, -0.0995471)
SAN HOLO @ Trabendo;2024-10-19T19:00:00;https://www.bandsintown.com/e/105806551-san-holo-at-trabendo?came_from=209;SAN HOLO;France;Paris;211 Ave Jean Jaures;75019;(48.8926277, 2.3939626)
SAN HOLO @ National Western Complex;2024-10-26T19:00:00;https://www.bandsintown.com/e/105894659-san-holo-at-national-western-complex?came_from=209;SAN HOLO;United States;Denver;4655 Humboldt St;80216;(39.7810107, -104.9714941)
SAN HOLO @ JIExpo Kemayoran;2024-12-13T19:00:00;https://www.bandsintown.com/e/105863783-san-holo-at-jiexpo-kemayoran?came_from=209;SAN HOLO;Indonesia;Kota Jakarta Pusat;Jl. Rajawali Selatan Raya No.25;10720;(-6.1461185, 106.8430245)
SAN HOLO @ Pennsylvania Convention Center;2024-12-27T19:00:00;https://www.bandsintown.com/e/105935405-san-holo-at-pennsylvania-convention-center?came_from=209;SAN HOLO;United States;Philadelphia;1101 Arch St;19107;(39.9549028, -75.15998189999999)
SAN HOLO @ Fox Theater;2025-01-10T19:00:00;https://www.bandsintown.com/e/105976601-san-holo-at-fox-theater?came_from=209;SAN HOLO;United States;Oakland;1807 Telegraph Ave;94612;(37.8080184, -122.2703407)
SAN HOLO @ Hollywood Palladium;2025-01-11T19:00:00;https://www.bandsintown.com/e/105976603-san-holo-at-hollywood-palladium?came_from=209;SAN HOLO;United States;Los Angeles;6215 W Sunset Blvd;90028;(34.09855400000001, -118.32425469999998)
SAN HOLO @ The Salt Shed;2025-01-17T19:00:00;https://www.bandsintown.com/e/105976604-san-holo-at-the-salt-shed?came_from=209;SAN HOLO;United States;Chicago;1357 N Elston Ave;60642;(41.9064774, -87.65940049999999)
SAN HOLO @ Brooklyn Paramount;2025-01-18T19:00:00;https://www.bandsintown.com/e/105976602-san-holo-at-brooklyn-paramount?came_from=209;SAN HOLO;United States;Brooklyn;385 Flatbush Ave. Extension;11201;(40.6900766, -73.9810749)
SAN HOLO @ Hipodromo De San Isidro;2025-03-21T19:00:00;https://www.bandsintown.com/e/105911231-san-holo-at-hipodromo-de-san-isidro?came_from=209;SAN HOLO;Argentina;San Isidro;Av. Márquez 700;B1642;(-34.4796505, -58.5223294)
SAN HOLO @ Parque Bicentenario Cerrillos;2025-03-21T19:00:00;https://www.bandsintown.com/e/105911235-san-holo-at-parque-bicentenario-cerrillos?came_from=209;SAN HOLO;Chile;Santiago;Av. Pedro Aguirre Cerda;;(-33.45694, -70.64827)
SAN HOLO @ Autódromo José Carlos Pace;2025-03-28T19:00:00;https://www.bandsintown.com/e/105911239-san-holo-at-autodromo-jose-carlos-pace?came_from=209;SAN HOLO;Brazil;São Paulo;Av. Sen. Teotonio Vilela, 261 - Interlagos;04801-010;(-23.704761, -46.69923)
Kamasi Washington @ Port Everglades - Celebrity Summit;2025-02-04T17:00:00;https://www.bandsintown.com/e/105796170-kamasi-washington-at-port-everglades-celebrity-summit?came_from=209;Kamasi Washington;United States;Fort Lauderdale;;;(26.12231, -80.14338)
Kamasi Washington @ Fållan;2025-03-12T20:00:00;https://www.bandsintown.com/e/105423997-kamasi-washington-at-fallan?came_from=209;Kamasi Washington;Sweden;Johanneshov;Fållan 10;121 62;(59.29259090000001, 18.0777691)
Kamasi Washington @ Moriska Paviljongen;2025-03-14T20:00:00;https://www.bandsintown.com/e/105424010-kamasi-washington-at-moriska-paviljongen?came_from=209;Kamasi Washington;Sweden;Malmö;Norra Parkgatan 2;214 22;(55.593867, 13.013551)
Kamasi Washington @ The Norwegian Opera and Ballet;2025-03-15T20:00:00;https://www.bandsintown.com/e/105424016-kamasi-washington-at-the-norwegian-opera-and-ballet?came_from=209;Kamasi Washington;Norway;Oslo;0150 Oslo;0150;(59.9080464, 10.7519338)
Kamasi Washington @ Theater des Westens;2025-03-17T20:00:00;https://www.bandsintown.com/e/105423983-kamasi-washington-at-theater-des-westens?came_from=209;Kamasi Washington;Germany;Berlin;Kantstraße 12;10623;(52.5056903, 13.3290618)
Kamasi Washington @ Sono Centrum;2025-03-18T20:30:00;https://www.bandsintown.com/e/105423938-kamasi-washington-at-sono-centrum?came_from=209;Kamasi Washington;Czech Republic;Brno;Veveří 113;616 00;(49.2094821, 16.5887017)
Kamasi Washington @ Klub Stodoła;2025-03-19T20:00:00;https://www.bandsintown.com/e/105423891-kamasi-washington-at-klub-stodola?came_from=209;Kamasi Washington;Poland;Warszawa;ul. Stefana Batorego 10;02-591;(52.211588, 21.010216)
Kamasi Washington @ Theaterfabrik;2025-03-21T21:00:00;https://www.bandsintown.com/e/105423946-kamasi-washington-at-theaterfabrik?came_from=209;Kamasi Washington;Germany;München;Musenbergstraße 40;81929;(48.173838, 11.6472858)
Kamasi Washington @ Barcelona Jazz Festival At Razzmataz;2025-03-23T20:30:00;https://www.bandsintown.com/e/105423762-kamasi-washington-at-barcelona-jazz-festival-at-razzmataz?came_from=209;Kamasi Washington;Spain;Eixample;Carrer dels Almogàvers, 122;08018;(41.38896, 2.16179)
Kamasi Washington @ Sala La Riviera;2025-03-24T21:00:00;https://www.bandsintown.com/e/105423781-kamasi-washington-at-sala-la-riviera?came_from=209;Kamasi Washington;Spain;Madrid;Paseo Bajo de la Virgen del Puerto;28005;(40.4129999, -3.7221514)
Kamasi Washington @ Hard Club;2025-03-25T21:00:00;https://www.bandsintown.com/e/105423816-kamasi-washington-at-hard-club?came_from=209;Kamasi Washington;Portugal;Porto;Praça do Infante D. Henrique;4050;(41.1419143, -8.614886199999999)
