BiT_url;id;name;genres;followers;popularity;genres_set
https://www.bandsintown.com/a/237069-intervals;0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208121;49;{'rock', 'djent', 'instrumental'}
https://www.bandsintown.com/a/51937-apparat;40Ojab0UtVQFjA76qXr8Ot;apparat;['ambient pop', 'electronica', 'glitch', 'indietronica', 'trip hop'];403978;48;{'indietronica', 'glitch', 'electronica', 'trip', 'hop', 'ambient', 'pop'}
https://www.bandsintown.com/a/369380-chon;2JFljHPanIjYy2QqfNYvC0;chon;['instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'san diego indie'];320370;48;{'diego', 'jazz', 'math', 'indie', 'rock', 'instrumental', 'san', 'fusion', 'progressive'}
https://www.bandsintown.com/a/1241311-alcest;0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296759;48;{'post-black', 'french', 'post-metal', 'blackgaze', 'atmospheric', 'black', 'metal', 'emotional', 'shoegaze'}
https://www.bandsintown.com/a/24548-hiromi;7DeuppKQdCVhuWrzzCBBpc;hiromi;['japanese jazz', 'jazz fusion', 'modern jazz piano'];252663;48;{'jazz', 'japanese', 'piano', 'fusion', 'modern'}
https://www.bandsintown.com/a/1581798-delta-sleep;05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94145;48;{'brighton', 'indie', 'math', 'rock', 'british', 'pop'}
https://www.bandsintown.com/a/296639-haken;2SRIVGDkdqQnrQdaXxDkJt;haken;['progressive metal'];221430;47;{'metal', 'progressive'}
https://www.bandsintown.com/a/39581-avishai-cohen;5wu05jGsVMAFHYMYHqCB9l;avishai cohen;['contemporary jazz', 'israeli jazz', 'jazz', 'jazz double bass', 'jazz trumpet'];209283;47;{'jazz', 'double', 'bass', 'israeli', 'trumpet', 'contemporary'}
https://www.bandsintown.com/a/5079-russian-circles;0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258467;46;{'sludge', 'post-metal', 'post-rock', 'rock', 'instrumental', 'metal', 'american'}
https://www.bandsintown.com/a/2846-nile;3v3VSKylQE69ztn5TUVlFE;nile;['brutal death metal', 'death metal', 'metal', 'oriental metal', 'south carolina metal', 'technical death metal', 'thrash metal'];250093;46;{'brutal', 'technical', 'thrash', 'death', 'carolina', 'metal', 'oriental', 'south'}
https://www.bandsintown.com/a/2031785-gogo-penguin;19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246877;46;{'jazz', 'indie', 'progressive', 'british', 'jazztronica', 'fusion', 'trio', 'modern', 'contemporary'}
https://www.bandsintown.com/a/355815-shlohmo;6y80I9YZi4DOpbaSUlL725;shlohmo;['downtempo', 'electronica', 'future garage', 'glitch', 'instrumental hip hop', 'wonky'];245580;46;{'garage', 'glitch', 'electronica', 'wonky', 'hop', 'downtempo', 'instrumental', 'hip', 'future'}
https://www.bandsintown.com/a/11588-ride;0WPY9nnBy01s5QOt4o4oQX;ride;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];239950;46;{'indie', 'rock', 'dream', 'shoegaze', 'pop', 'alternative', 'britpop', 'oxford'}
https://www.bandsintown.com/a/4569-the-dear-hunter;51lE580QM13Anmb3mK2j1e;the dear hunter;['progressive jazz fusion', 'progressive post-hardcore'];157309;46;{'fusion', 'jazz', 'progressive', 'post-hardcore'}
https://www.bandsintown.com/a/897-between-the-buried-and-me;2JC4hZm1egeJDEolLsMwZ9;between the buried and me;['djent', 'melodic metalcore', 'north carolina metal', 'progressive metal'];274779;45;{'metalcore', 'north', 'carolina', 'metal', 'melodic', 'progressive', 'djent'}
https://www.bandsintown.com/a/410439-igorrr;2p2uE4i92Dn4DkThfoKIB9;igorrr;['avant-garde metal', 'breakcore', 'cybergrind', 'french metal', 'opera metal'];245033;45;{'avant-garde', 'french', 'breakcore', 'metal', 'opera', 'cybergrind'}
https://www.bandsintown.com/a/338257-tigran-hamasyan;0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169851;45;{'armenian', 'jazz', 'piano', 'folk', 'modern', 'contemporary'}
https://www.bandsintown.com/a/4988-this-will-destroy-you;0MG4LXIw7n4x0wjDc6WYXk;this will destroy you;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];247240;44;{'post-rock', 'drone', 'instrumental', 'ambient', 'metal', 'american', 'doomgaze'}
https://www.bandsintown.com/a/3016-converge;7kHzfxMLtVHHb523s43rY1;converge;['boston hardcore', 'chaotic hardcore', 'mathcore', 'metalcore', 'post-hardcore', 'post-rock', 'sludge metal'];216351;44;{'boston', 'metalcore', 'sludge', 'mathcore', 'post-hardcore', 'post-rock', 'chaotic', 'hardcore', 'metal'}
https://www.bandsintown.com/a/39539-elio-e-le-storie-tese;61r4cE4aoOD50wPNhQ5fF7;elio e le storie tese;['italian adult pop', 'italian alternative'];196384;44;{'italian', 'pop', 'adult', 'alternative'}
https://www.bandsintown.com/a/21652-nothing;60mqEPQp1eNjuwt1Z4yL4J;nothing;['american shoegaze', 'dreamgaze', 'dreamo', 'grungegaze', 'nu gaze', 'pennsylvania shoegaze', 'philly indie', 'shoegaze'];143387;44;{'dreamgaze', 'dreamo', 'pennsylvania', 'indie', 'grungegaze', 'nu', 'philly', 'shoegaze', 'american', 'gaze'}
https://www.bandsintown.com/a/5870863-sungazer;1uvnDqn7UvVy6orSq1E2YF;sungazer;['livetronica', 'progressive jazz fusion'];96110;44;{'livetronica', 'jazz', 'progressive', 'fusion'}
https://www.bandsintown.com/a/1016236-deafheaven;4XpPveeg7RuYS3CgLo75t9;deafheaven;['atmospheric black metal', 'blackened screamo', 'blackgaze', 'emotional black metal', 'post-metal', 'usbm'];246584;43;{'blackened', 'post-metal', 'screamo', 'blackgaze', 'atmospheric', 'usbm', 'black', 'metal', 'emotional'}
https://www.bandsintown.com/a/16479-nate-smith;3C1TdpEowpf6AMf7PycuWy;nate smith;['contemporary jazz', 'uk contemporary jazz'];77334;43;{'jazz', 'uk', 'contemporary'}
https://www.bandsintown.com/a/6064-65daysofstatic;6DVVsQAnpHdJjb1nYuOQ6g;65daysofstatic;['instrumental post-rock', 'post-rock'];139728;42;{'post-rock', 'instrumental'}
https://www.bandsintown.com/a/34832-the-ocean;6fuALtryzj4cq7vkglKLxq;the ocean;['atmospheric post-metal', 'atmospheric sludge', 'djent', 'post-metal', 'progressive metal', 'progressive sludge', 'sludge metal'];139204;42;{'sludge', 'post-metal', 'atmospheric', 'metal', 'progressive', 'djent'}
https://www.bandsintown.com/a/615560-covet;46iJ1VD4HKFnqjISGqlZkV;covet;['instrumental math rock', 'instrumental rock', 'math rock'];194023;41;{'math', 'rock', 'instrumental'}
https://www.bandsintown.com/a/260500-the-contortionist;7nCgNmfYJcsVy3vOOzExYS;the contortionist;['djent', 'sci-fi metal'];178488;41;{'sci-fi', 'metal', 'djent'}
https://www.bandsintown.com/a/2941-cryptopsy;29PgYwTelpNl6370XLqFtN;cryptopsy;['black metal', 'brutal death metal', 'canadian metal', 'death metal', 'quebec death metal', 'technical death metal', 'technical deathcore', 'technical melodic death metal', 'thrash metal'];167010;41;{'brutal', 'quebec', 'technical', 'deathcore', 'thrash', 'death', 'canadian', 'black', 'metal', 'melodic'}
https://www.bandsintown.com/a/11584-pain-of-salvation;1uRpg2s2jNaxbmoNiJDGfd;pain of salvation;['prog metal', 'progressive metal', 'swedish progressive metal'];137891;41;{'metal', 'progressive', 'swedish', 'prog'}
https://www.bandsintown.com/a/942814-thank-you-scientist;4YygB8sfxuIcj2p0G9kpQ5;thank you scientist;['progressive jazz fusion'];135979;40;{'fusion', 'jazz', 'progressive'}
https://www.bandsintown.com/a/437580-vildhjarta;0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123009;40;{'thall', 'djent', 'instrumental'}
https://www.bandsintown.com/a/47748-thou;4KoZpKiPeX4jIi7Euwcfuo;thou;['drone metal', 'gaian doom', 'louisiana metal', 'post-doom metal', 'sludge metal', 'voidgrind'];87482;40;{'doom', 'post-doom', 'sludge', 'voidgrind', 'louisiana', 'drone', 'metal', 'gaian'}
https://www.bandsintown.com/a/1778485-xxyyxx;1iqXhsjGeWi2Gje5q0mFYb;xxyyxx;['chillwave', 'wonky'];255436;39;{'wonky', 'chillwave'}
https://www.bandsintown.com/a/15557659-mono;53LVoipNTQ4lvUSJ61XKU3;mono;['downtempo', 'instrumental post-rock', 'japanese post-rock', 'post-rock'];187810;39;{'post-rock', 'downtempo', 'japanese', 'instrumental'}
