artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
san holo;10;2024;19/10/2024 19:00;0;France;Paris;(48.89, 2.39);638.4;57;{'electronic', 'trap', 'bass', 'pop', 'electro', 'house', 'edm', 'brostep', 'dance', 'future'}
kamasi washington;3;2025;12/03/2025 20:00;144;Sweden;Johanneshov;(59.29, 18.08);1641.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;14/03/2025 20:00;146;Sweden;Malmö;(55.59, 13.01);1150.2;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;15/03/2025 20:00;147;Norway;Oslo;(59.91, 10.75);1603.4;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;17/03/2025 20:00;149;Germany;Berlin;(52.51, 13.33);831.8;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;18/03/2025 20:30;150;Czech Republic;Brno;(49.21, 16.59);689.7;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;19/03/2025 20:00;151;Poland;Warszawa;(52.21, 21.01);1137.1;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;21/03/2025 21:00;153;Germany;München;(48.17, 11.65);346.7;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;23/03/2025 20:30;155;Spain;Eixample;(41.39, 2.16);733.6;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;24/03/2025 21:00;156;Spain;Madrid;(40.41, -3.72);1197.8;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;25/03/2025 21:00;157;Portugal;Porto;(41.14, -8.61);1522.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;26/03/2025 20:00;158;Portugal;Lisboa;(38.72, -9.14);1691.5;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;28/03/2025 20:30;160;France;Cenon;(44.86, -0.52);769.3;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;30/03/2025 21:00;162;Switzerland;Zurich;(47.38, 8.53);212.6;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;3;2025;31/03/2025 19:00;163;Switzerland;Lausanne;(46.52, 6.62);230.1;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;01/04/2025 20:00;164;France;Paris;(48.88, 2.3);643.3;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;03/04/2025 20:00;166;United Kingdom;Cardiff;(51.49, -3.18);1128.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;04/04/2025 20:00;167;United Kingdom;Manchester;(53.48, -2.25);1210.8;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;05/04/2025 19:30;168;United Kingdom;Gateshead;(54.97, -1.6);1300.4;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;06/04/2025 20:00;169;United Kingdom;Glasgow;(55.86, -4.24);1486.7;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;08/04/2025 20:00;171;Ireland;Dublin;(53.34, -6.27);1415.6;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;09/04/2025 19:00;172;Ireland;Cork;(51.9, -8.47);1477.2;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;11/04/2025 19:00;174;United Kingdom;Leeds;(53.8, -1.57);1203.1;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;13/04/2025 20:00;176;United Kingdom;London;(51.47, -0.11);954.0;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
