Name;Country;Genre;Status;URL
S.O.V.;Germany;Death Metal/Metalcore;Unknown;https://www.metal-archives.com/bands/S.O.V./110042
S.P.I.T;Finland;Heavy Metal/Hard Rock;Active;https://www.metal-archives.com/bands/S.P.I.T/3540523683
S.P.O.R.E.;United States;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/S.P.O.R.E./124169
S.P.O.R.K.;United States;Thrash/Death Metal;Split-up;https://www.metal-archives.com/bands/S.P.O.R.K./75016
S.P.Q.R.;Canada;Black Metal;Split-up;https://www.metal-archives.com/bands/S.P.Q.R./28646
S.Pollution;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.Pollution/9581
S.R;Colombia;Black Metal;Active;https://www.metal-archives.com/bands/S.R/3540514201
S.R.L.;Italy;Melodic Death/Thrash Metal;Active;https://www.metal-archives.com/bands/S.R.L./14045
S.S. Dagger;United States;Heavy Metal;Changed name;https://www.metal-archives.com/bands/S.S._Dagger/3540282075
S.S.W.G.;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/S.S.W.G./3540309155
S.T.A.B.;Brazil;Heavy/Groove Metal;Split-up;https://www.metal-archives.com/bands/S.T.A.B./99002
S.T.D.;Chile;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S.T.D./3540501146
S.T.R.A.H.;Bulgaria;"Raw Black Metal (early); Black/Death/Doom Metal (later)";Active;https://www.metal-archives.com/bands/S.T.R.A.H./3540493190
S.T.R.E.E.T.S.;Canada;Crossover/Thrash Metal;Split-up;https://www.metal-archives.com/bands/S.T.R.E.E.T.S./125625
S.U.C.;Brazil;Grindcore;Active;https://www.metal-archives.com/bands/S.U.C./3540474991
S.U.N.D.S.;Portugal;Black Metal, Ambient, Noise;Split-up;https://www.metal-archives.com/bands/S.U.N.D.S./60212
S.U.P.;France;Avant-garde Metal;Active;https://www.metal-archives.com/bands/S.U.P./3540300512
S.U.R.G.E.;United States;Sludge Metal;Active;https://www.metal-archives.com/bands/S.U.R.G.E./3540498971
S.U.T.U.R.E.;France;Black Metal/Crust;Active;https://www.metal-archives.com/bands/S.U.T.U.R.E./3540434089
S.V.A.E.L.;Netherlands;Raw Black Metal;Split-up;https://www.metal-archives.com/bands/S.V.A.E.L./3540432030
S.V.E.R.D;Mexico;Black Metal;Active;https://www.metal-archives.com/bands/S.V.E.R.D/3540547992
S.V.E.S.T.;France;Black Metal;Unknown;https://www.metal-archives.com/bands/S.V.E.S.T./10112
S.V.O.C.;Costa Rica;Raw Black Metal;Active;https://www.metal-archives.com/bands/S.V.O.C./3540525810
S.W.A.M.P.;Belarus;Black/Death Metal;Split-up;https://www.metal-archives.com/bands/S.W.A.M.P./3540309936
S.W.O.R.D.;Belarus;Black Metal;Split-up;https://www.metal-archives.com/bands/S.W.O.R.D./89599
S.Y.K;Colombia;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S.Y.K/3540476346
S/2004 S20;Russia;Atmospheric Doom/Death Metal;Active;https://www.metal-archives.com/bands/S-2004_S20/3540493421
S&L;Italy;Progressive Metal/Rock;Split-up;https://www.metal-archives.com/bands/S%26L/80283
S1ege_Bomb;Ireland;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/S1ege_Bomb/3540544737
S1ft;United States;Thrash/Heavy Metal;Changed name;https://www.metal-archives.com/bands/S1ft/85057
S3;Germany;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/S3/3540297010
S4SA;France;Progressive Heavy Metal;Active;https://www.metal-archives.com/bands/S4SA/3540427647
S6R6TH6;Russia;Black Metal;Active;https://www.metal-archives.com/bands/S6R6TH6/3540406376
S7N;Mexico;Thrash/Heavy Metal;Active;https://www.metal-archives.com/bands/S7N/3540377440
S91;Italy;Progressive Metal;Active;https://www.metal-archives.com/bands/S91/3540326881
Sa Main;France;Progressive Metal;Active;https://www.metal-archives.com/bands/Sa_Main/3540401960
Sa Meute;France;Black/Doom Metal;Active;https://www.metal-archives.com/bands/Sa_Meute/39582
Sa-da-ko;United Kingdom;Melodic Death/Groove Metal/Metalcore;On hold;https://www.metal-archives.com/bands/Sa-da-ko/3540309763
SA-Sanctuary;United States;Thrash Metal;Split-up;https://www.metal-archives.com/bands/SA-Sanctuary/43812
SAAC;Finland;Raw Black Metal;Active;https://www.metal-archives.com/bands/SAAC/3540288733
Saagar;Argentina;Black Metal, Ambient;Split-up;https://www.metal-archives.com/bands/Saagar/3540336043
Saahrg;United States;Black Metal;Active;https://www.metal-archives.com/bands/Saahrg/3540491369
Saark;Russia;Depressive Black Metal;Active;https://www.metal-archives.com/bands/Saark/3540327073
Saarkoth;United Kingdom;Melodic Black Metal;Active;https://www.metal-archives.com/bands/Saarkoth/3540436094
Saars;Czechia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Saars/3540262912
Sáasil;International;Post-Black Metal;Active;https://www.metal-archives.com/bands/S%C3%A1asil/3540548176
Saasta;Finland;Doom/Death Metal;Active;https://www.metal-archives.com/bands/Saasta/3540515917
Saastunut;Finland;Black Metal;Active;https://www.metal-archives.com/bands/Saastunut/3540507998
Saatana;United Kingdom;Black Metal;Active;https://www.metal-archives.com/bands/Saatana/3540479318
Saatana Hatiim;Mexico;Raw Black Metal;Split-up;https://www.metal-archives.com/bands/Saatana_Hatiim/3540338753
Saatanan Marionetit;Finland;Melodic Death/Doom Metal;Active;https://www.metal-archives.com/bands/Saatanan_Marionetit/96479
Saatkrähe;France;Black Metal;Changed name;https://www.metal-archives.com/bands/Saatkr%C3%A4he/35713
Saattoväki;Finland;Death Metal;On hold;https://www.metal-archives.com/bands/Saattov%C3%A4ki/3540360034
Saattue;Finland;Melodic Doom/Death Metal;Active;https://www.metal-archives.com/bands/Saattue/36787
Sabachthani;Sweden;Gothic/Doom Metal;Unknown;https://www.metal-archives.com/bands/Sabachthani/90072
Sabachthani (Marcos 15, 34);Mexico;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Sabachthani_%28Marcos_15%2C_34%29/3540539346
Sabackthanny;Brazil;"Post-Black Metal (early/later); Post-Rock/Shoegaze (mid)";Active;https://www.metal-archives.com/bands/Sabackthanny/3540418907
Sabacthani;Mexico;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Sabacthani/30288
Sabadu;International;Power Metal;Active;https://www.metal-archives.com/bands/Sabadu/3540492618
Sabaism;Switzerland;Black/Death Metal;Split-up;https://www.metal-archives.com/bands/Sabaism/22412
Sabaium;Slovenia;Gothic/Death Metal;Active;https://www.metal-archives.com/bands/Sabaium/6335
