Name;Country;Genre;Status;URL
Kadaver;Sweden;Black/Death Metal;Split-up;https://www.metal-archives.com/bands/Kadaver/3540266283
Kadaver;Bolivia;Black Metal;Active;https://www.metal-archives.com/bands/Kadaver/3540477423
Kadaver Cult;Chile;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Kadaver_Cult/3540441743
Kadaver Dolls;United States;Death/Groove Metal/Metalcore;Active;https://www.metal-archives.com/bands/Kadaver_Dolls/3540529973
Kadaverdisciplin;Sweden;Melodic Black Metal;Active;https://www.metal-archives.com/bands/Kadaverdisciplin/3540431560
Kadavereich;Russia;Death Metal;On hold;https://www.metal-archives.com/bands/Kadavereich/3540499228
Kadaverficker;Germany;Sludge/Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Kadaverficker/13719
Kadaverica;Italy;"Black Metal (early); Black/Death Metal (later)";Active;https://www.metal-archives.com/bands/Kadaverica/3540328808
Kädaverico;Spain;Grindcore/Crust Punk;Active;https://www.metal-archives.com/bands/K%C3%A4daverico/3540535392
Kadaverin;Hungary;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Kadaverin/3540258798
Kadaverkult;Sweden;Death/Doom Metal;Split-up;https://www.metal-archives.com/bands/Kadaverkult/3540418933
Kadavermarch;Denmark;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Kadavermarch/3540506334
Kadavre;France;Raw Black Metal/Noise;Active;https://www.metal-archives.com/bands/Kadavre/3540517583
Kadavrik;Germany;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Kadavrik/52853
Kadavro;Argentina;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Kadavro/3540485260
Kadawer Dialoog;South Africa;Groove Metal;Active;https://www.metal-archives.com/bands/Kadawer_Dialoog/3540423150
Kade Storm;United Kingdom;Blackened Doom Metal;Active;https://www.metal-archives.com/bands/Kade_Storm/3540390190
Kadens;United States;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Kadens/3540401590
Kadenzza;Japan;Symphonic Black Metal;On hold;https://www.metal-archives.com/bands/Kadenzza/15280
Kadian Injection;Australia;Thrash Metal;Unknown;https://www.metal-archives.com/bands/Kadian_Injection/3540282970
Kadmiok;Chile;Thrash Metal;Active;https://www.metal-archives.com/bands/Kadmiok/3540479590
Kádmos;Unknown;Raw Black Metal;Active;https://www.metal-archives.com/bands/K%C3%A1dmos/3540499577
Kadotettu;Finland;Ambient Black/Funeral Doom Metal;Active;https://www.metal-archives.com/bands/Kadotettu/3540415473
Kadotuksen Portti;Finland;Atmospheric Black Metal;Active;https://www.metal-archives.com/bands/Kadotuksen_Portti/3540443407
Kadotus;Finland;Black Metal;Split-up;https://www.metal-archives.com/bands/Kadotus/12557
Kadotus;Finland;Black Metal;Unknown;https://www.metal-archives.com/bands/Kadotus/3540454451
Kadub Kult;United States;Black Metal;Active;https://www.metal-archives.com/bands/Kadub_Kult/3540469704
Kaduk;Belarus;Black Metal;Unknown;https://www.metal-archives.com/bands/Kaduk/58543
Kae;Poland;Black Metal;Active;https://www.metal-archives.com/bands/Kae/3540522359
Kaeck;Netherlands;Black Metal;Active;https://www.metal-archives.com/bands/Kaeck/3540400251
Kaede;Japan;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Kaede/3540438345
Kaelis;Spain;Symphonic Power Metal;Active;https://www.metal-archives.com/bands/Kaelis/3540496350
Kæltetod;Austria;Black Metal/Dark Ambient;Split-up;https://www.metal-archives.com/bands/K%C3%A6ltetod/18628
Kaemon;United States;Southern/Stoner Metal;Split-up;https://www.metal-archives.com/bands/Kaemon/3540287066
Kaemorph;France;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/Kaemorph/29866
Kaeos;Germany;Black Metal;Split-up;https://www.metal-archives.com/bands/Kaeos/3540269474
Kaeper;Belgium;Epic Folk Metal;Unknown;https://www.metal-archives.com/bands/Kaeper/3540463090
Kaer Morhen;Poland;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Kaer_Morhen/39966
Kaer Morhen;Italy;Epic Symphonic Metal;Active;https://www.metal-archives.com/bands/Kaer_Morhen/3540391249
Kaer Morhen;Germany;Epic Black Metal;Unknown;https://www.metal-archives.com/bands/Kaer_Morhen/3540296541
Kaer Morhen;Argentina;Melodic Death Metal;Active;https://www.metal-archives.com/bands/Kaer_Morhen/3540429524
Kaera;Finland;Melodic Death/Groove Metal;Active;https://www.metal-archives.com/bands/Kaera/3540487672
Kaerulean;Australia;Melodic Death/Black Metal;Active;https://www.metal-archives.com/bands/Kaerulean/3540401879
Kaets;France;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Kaets/3540401180
Kaevum;Norway;Black Metal;Active;https://www.metal-archives.com/bands/Kaevum/3540269450
Kafan;Lebanon;Raw Black Metal;Unknown;https://www.metal-archives.com/bands/Kafan/20556
Kaffaljidhma;Netherlands;Atmospheric/Raw Black Metal;Active;https://www.metal-archives.com/bands/Kaffaljidhma/3540409238
Kaffeine;United States;Death Metal;Split-up;https://www.metal-archives.com/bands/Kaffeine/3540294619
Kafir;Unknown;Black Metal;Active;https://www.metal-archives.com/bands/Kafir/3540525798
Kafirun;Canada;Black Metal;Active;https://www.metal-archives.com/bands/Kafirun/3540393933
Kafka Rex;United States;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Kafka_Rex/3540398146
Kafkian;Honduras;Death Metal;Active;https://www.metal-archives.com/bands/Kafkian/3540447655
Kafkuh;Spain;Sludge/Post-Metal;Active;https://www.metal-archives.com/bands/Kafkuh/3540467396
Kafoth;Ecuador;Black Metal;Split-up;https://www.metal-archives.com/bands/Kafoth/44474
Kafros Lord;Cyprus;Black Metal;Split-up;https://www.metal-archives.com/bands/Kafros_Lord/3540411435
Kafziel;Argentina;Progressive Metal;Active;https://www.metal-archives.com/bands/Kafziel/3540412453
Kafziel;Sweden;Black Metal;Active;https://www.metal-archives.com/bands/Kafziel/95597
Kagan;Serbia;Pagan/Folk Metal;On hold;https://www.metal-archives.com/bands/Kagan/97650
Kagaos de la Kaeza;Chile;Thrash/Nu-Metal/Crossover/Hardcore;Active;https://www.metal-archives.com/bands/Kagaos_de_la_Kaeza/3540537447
Kage;United States;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Kage/46529
Kageneko;United States;Grindcore;Active;https://www.metal-archives.com/bands/Kageneko/3540532330
Kagno;Chile;Melodic Heavy Metal;Active;https://www.metal-archives.com/bands/Kagno/3540486341
Kagrenak;Russia;Funeral Doom Metal, Dark Ambient;Active;https://www.metal-archives.com/bands/Kagrenak/3540453754
Kagutaba Method;Unknown;Death Metal;Active;https://www.metal-archives.com/bands/Kagutaba_Method/3540511963
Kahanka;Brazil;Groove Metal;Active;https://www.metal-archives.com/bands/Kahanka/3540448576
Kâhld;Germany;Black Metal;On hold;https://www.metal-archives.com/bands/K%C3%A2hld/3540388504
Kahlkopf;Germany;"Punk Rock/RAC (early); Crossover/Thrash/Heavy Metal (later)";Unknown;https://www.metal-archives.com/bands/Kahlkopf/3540375484
Kahn;Sweden;Grindcore/Death Metal;Unknown;https://www.metal-archives.com/bands/Kahn/3540394697
