Name;Country;Genre;Status;URL
Taetre;Sweden;Melodic Death/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Taetre/202
TAF;France;Thrash/Groove Metal;Split-up;https://www.metal-archives.com/bands/TAF/124732
Tafkata;United States;Sludge/Doom Metal;Split-up;https://www.metal-archives.com/bands/Tafkata/3540313657
Tafna;Russia;Blackened Sludge Metal;Active;https://www.metal-archives.com/bands/Tafna/3540489440
Tagarot;Austria;Folk Metal;Active;https://www.metal-archives.com/bands/Tagarot/3540405851
Tagat;Morocco;Black Metal;Split-up;https://www.metal-archives.com/bands/Tagat/3540393366
Tågefolket;Denmark;Black Metal;On hold;https://www.metal-archives.com/bands/T%C3%A5gefolket/9168
Taggarik;Canada;Black Metal;Active;https://www.metal-archives.com/bands/Taggarik/3540409002
Taghut;United States;Black Metal;Active;https://www.metal-archives.com/bands/Taghut/125873
Tagirion Est Tiferet;Chile;Raw Black Metal;Active;https://www.metal-archives.com/bands/Tagirion_Est_Tiferet/3540520708
Tagraht;Türkiye;Black Metal;Active;https://www.metal-archives.com/bands/Tagraht/25086
Tagrest;Morocco;Epic/Melodic Black Metal;Active;https://www.metal-archives.com/bands/Tagrest/3540513222
Taguer;Ecuador;Thrash Metal;Changed name;https://www.metal-archives.com/bands/Taguer/3540487567
Tahanan Neraka;Indonesia;Death Metal;Active;https://www.metal-archives.com/bands/Tahanan_Neraka/3540404618
Tahannus;Malaysia;Black Metal;Active;https://www.metal-archives.com/bands/Tahannus/3540340796
Tahasrwad;United States;Black/Sludge Metal;Unknown;https://www.metal-archives.com/bands/Tahasrwad/3540489600
Tahawus;United States;Atmospheric Black Metal;Active;https://www.metal-archives.com/bands/Tahawus/3540438811
Tahazu;United States;Black Metal;Split-up;https://www.metal-archives.com/bands/Tahazu/3540417714
Tahdiyul Arwah;Malaysia;Black/Death Metal;Active;https://www.metal-archives.com/bands/Tahdiyul_Arwah/3540313932
Tahdoton;Finland;Death/Doom Metal;Active;https://www.metal-archives.com/bands/Tahdoton/3540507100
Tahi Suci;Malaysia;Death Metal;Active;https://www.metal-archives.com/bands/Tahi_Suci/3540471509
Tahiel Project;Argentina;Heavy/Power Metal;Active;https://www.metal-archives.com/bands/Tahiel_Project/3540434455
Tahiraã;Brazil;Black Metal;Active;https://www.metal-archives.com/bands/Tahira%C3%A3/62987
Tahkisis;Australia;Thrash Metal;Changed name;https://www.metal-archives.com/bands/Tahkisis/3540394025
Tahlilan;Indonesia;Black Metal;Active;https://www.metal-archives.com/bands/Tahlilan/3540530908
Tahra;Brazil;Progressive Heavy/Power Metal;Unknown;https://www.metal-archives.com/bands/Tahra/3540537723
Tahrah;Sweden;Melodic Death/Black Metal;Active;https://www.metal-archives.com/bands/Tahrah/3540504745
