id;name;genres;followers;popularity;specific_genre
1JsBuuKCnA43vrlM1X4cKN;monika roscher bigband;['munich indie'];19667;27;{'indie', 'munich'}
1KHydwFySZY3YcWyo2q2dF;neurosis;['atmospheric post-metal', 'atmospheric sludge', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'progressive sludge', 'sludge metal'];143173;34;{'post-metal', 'sludge', 'post-doom', 'atmospheric', 'progressive', 'metal', 'drone', 'doom'}
1MD5pgVzlusqGyuSTcTxvu;premiata forneria marconi;['italian progressive rock', 'progressive rock'];120573;37;{'rock', 'italian', 'progressive'}
1PvIhDSob4VErWq8ssWdmA;la psicosi di ottobre;[];26;9;set()
1UiZqQoNAT4bs0uCK3biS9;ornaments;[];622;4;set()
1V4jsLjkic1Mxvdke86Qth;the aristocrats;['instrumental rock', 'progressive jazz fusion', 'progressive metal', 'traditional funk'];120477;36;{'instrumental', 'funk', 'jazz', 'rock', 'progressive', 'metal', 'traditional', 'fusion'}
1binm59tmJzoZLvLETVYBP;jesu;['birmingham metal', 'british experimental', 'doomgaze', 'drone', 'drone metal', 'dub metal', 'post-metal', 'shoegaze', 'uk doom metal', 'uk post-metal'];62696;29;{'british', 'post-metal', 'experimental', 'dub', 'birmingham', 'metal', 'doomgaze', 'drone', 'shoegaze', 'uk', 'doom'}
1cbBzQxiKcZCsit68iTbTJ;lantlôs;['atmospheric black metal', 'blackgaze', 'doomgaze', 'emotional black metal', 'german black metal', 'post-metal'];56800;31;{'post-metal', 'blackgaze', 'emotional', 'atmospheric', 'metal', 'doomgaze', 'german', 'black'}
1hTlyo5QWVHUA3xUGgXqa5;proem;['abstract', 'ambient idm', 'deep idm', 'drill and bass', 'glitch', 'intelligent dance music'];13319;21;{'bass', 'ambient', 'music', 'abstract', 'dance', 'glitch', 'deep', 'intelligent', 'drill', 'idm', 'and'}
1iqXhsjGeWi2Gje5q0mFYb;xxyyxx;['chillwave', 'wonky'];255429;39;{'chillwave', 'wonky'}
